iso_code,year,death_rate
CHL,2004,63.08
CHL,2005,61.09
CHL,2006,59.4
CHL,2007,58.43
CHL,2008,56.48
CHL,2009,56.84
CHL,2010,56.5
CHL,2011,54.91
CHL,2012,53.66
CHL,2013,52.75
CHL,2014,51.2
CHL,2015,50.07
CHL,2016,48.07
CHL,2017,47.84
CHL,2018,47.22
CHL,2019,46.54
CHN,1990,216.53
CHN,1991,217.94
CHN,1992,219.01
CHN,1993,219.36
CHN,1994,217.98
CHN,1995,217
CHN,1996,215.19
CHN,1997,212.05
CHN,1998,209.76
CHN,1999,208.83
CHN,2000,209.72
CHN,2001,207.27
CHN,2002,204.46
CHN,2003,200.86
CHN,2004,199.55
CHN,2005,194.05
CHN,2006,182.12
CHN,2007,174.11
CHN,2008,169.88
CHN,2009,166.71
CHN,2010,164.26
CHN,2011,159.48
CHN,2012,153.77
CHN,2013,148.04
CHN,2014,142.84
CHN,2015,138.54
CHN,2016,135.94
CHN,2017,132.8
CHN,2018,130.44
CHN,2019,129.65
COL,1990,91.1
COL,1991,91.54
COL,1992,88.75
COL,1993,84.58
COL,1994,81.17
COL,1995,77.6
COL,1996,75.35
COL,1997,68.74
COL,1998,64.36
COL,1999,62.85
COL,2000,60.01
COL,2001,58.02
COL,2002,62.1
COL,2003,55.9
COL,2004,53.62
COL,2005,49.55
COL,2006,48.71
COL,2007,45.92
COL,2008,44.85
COL,2009,45.13
COL,2010,43.3
COL,2011,40.35
COL,2012,38.98
COL,2013,37.58
COL,2014,35.82
COL,2015,35.49
COL,2016,34.83
COL,2017,33.98
COL,2018,33.34
COL,2019,32.61
COM,1990,94.72
COM,1991,93.3
COM,1992,94.98
COM,1993,93.99
COM,1994,94.73
COM,1995,94.38
COM,1996,94.03
COM,1997,92.15
COM,1998,88.1
COM,1999,84.37
COM,2000,83.38
COM,2001,80.38
COM,2002,77.98
COM,2003,74.17
COM,2004,70.34
COM,2005,69.71
COM,2006,66.4
COM,2007,67.7
COM,2008,66.92
COM,2009,64.3
COM,2010,62.14
COM,2011,62.14
COM,2012,61.37
COM,2013,60.51
COM,2014,61.61
COM,2015,60.61
COM,2016,59.36
COM,2017,58.19
COM,2018,56.34
COM,2019,55.15
COG,1990,97.34
COG,1991,94.93
COG,1992,93.69
COG,1993,92.72
COG,1994,92.96
COG,1995,92.28
COG,1996,90.97
COG,1997,89.88
COG,1998,86.07
COG,1999,83.2
COG,2000,79.06
COG,2001,74.52
COG,2002,70.25
COG,2003,68.25
COG,2004,65.66
COG,2005,62.92
COG,2006,61.35
COG,2007,60.41
COG,2008,59.79
COG,2009,58.92
COG,2010,57.77
COG,2011,57.28
COG,2012,57.6
COG,2013,57.7
COG,2014,57.87
COG,2015,57.94
COG,2016,57.81
COG,2017,57.92
COG,2018,58.38
COG,2019,58.82
COK,1990,146.8
COK,1991,143.23
COK,1992,139.57
COK,1993,135.93
COK,1994,132.61
COK,1995,129.81
COK,1996,127.07
COK,1997,124.53
COK,1998,122.21
COK,1999,120.19
COK,2000,117.94
COK,2001,115.52
COK,2002,113.68
COK,2003,111.27
COK,2004,108.62
COK,2005,105.37
COK,2006,102.33
COK,2007,99.87
COK,2008,97.06
COK,2009,95.31
COK,2010,95.18
COK,2011,95.03
COK,2012,94.22
COK,2013,93.1
COK,2014,91.82
COK,2015,91.04
COK,2016,90.19
COK,2017,88.95
COK,2018,87.89
COK,2019,86.95
CRI,1990,79.26
CRI,1991,77.45
CRI,1992,76.8
CRI,1993,74.02
CRI,1994,75.22
CRI,1995,75.78
CRI,1996,70.77
CRI,1997,69.75
CRI,1998,67.94
CRI,1999,67.97
CRI,2000,63.75
CRI,2001,62.15
CRI,2002,57.87
CRI,2003,56.9
CRI,2004,56.08
CRI,2005,50.73
CRI,2006,51.89
CRI,2007,45.89
CRI,2008,45.95
CRI,2009,44.16
